% Coordinates of events in WikiLeaks Afghan War Diary
% Longitude, Latitude, Day number (starting from 1st January 2004)

70.162,33.25,165
70.143,34.162,166
66.1,30.183,166
68.35,34.346,166
70.11,34.299,166
69.221,33.599,166
66.457,32.566,166
69.184,33.345,166
69.057,33.454,167
64.011,33.426,167
65.702,31.613,167
69.057,33.454,167
67.176,32.659,167
67.075,32.61,167
67.13,32.038,167
70.922,34.9,167
65.717,31.617,167
69.174,34.539,167
69.476,32.976,168
63.726,33.975,168
69.733,34.6,168
70.567,37.1,168
68.703,33.129,168
65.616,31.671,168
66.801,32.697,168
68.867,36.717,168
70.124,33.691,168
69.683,33.303,168
65.894,32.633,168
68.717,33.133,169
67.052,32.555,169
68.7,35.933,170
65.703,31.615,170
65.616,31.671,170
69.92,33.14,170
66.526,32.198,171
68.67,33.957,171
63.333,35.583,171
70.077,34.954,171
67.193,31.426,172
68.633,34.467,172
68.633,34.467,172
69.019,33.997,172
63.754,35.134,173
62.342,31.167,173
69.041,33.446,173
65.63,31.759,173
71.097,34.853,173
66.503,32.204,174
65.607,31.764,174
67.05,32.797,174
67.05,32.797,174
69.978,33.3,174
69.886,33.569,174
69.412,32.92,174
69.45,32.906,174
68.47,34.113,175
68.67,33.957,175
68.449,33.586,175
71.405,35.159,175
68.802,33.146,175
70.081,34.958,175
71.106,34.773,176
66.35,31.833,176
67.433,32.35,176
64.011,33.426,176
66.067,32.884,176
69.367,33.683,177
69.308,34.502,177
68.67,33.957,177
65.75,31,177
65.846,31.507,177
67.292,32.834,177
70.479,34.416,178
70.146,33.215,178
67.213,32.75,178
71.483,35.227,178
67.028,31.871,179
65.474,33.202,179
67.172,32.728,179
65.454,32.918,179
69.431,32.908,179
66.9,32.1,180
69.843,33.798,180
69.217,34.9,180
63.743,31.622,181
69.235,33.186,181
68.67,33.957,181
71.121,34.431,181
71.163,35.016,181
70.357,34.293,182
69.217,33.6,182
66.4,31,182
65.478,32.965,182
65.741,32.263,182
66.024,32.668,182
70.363,34.278,182
65.41,32.819,182
66.664,32.397,182
69.71,33.313,182
69.669,36.876,183
62.263,34.224,183
68.9,33.729,183
65.117,31.7,183
69.793,33.304,183
65.538,33.059,183
69.429,32.893,183
71.524,35.21,183
65.935,32.601,183
68.991,33.416,183
66.083,33.633,184
68.904,33.925,184
68.805,34.441,184
69.247,33.572,184
66.577,32.628,184
70.204,33.287,184
70.155,33.264,184
65.551,33.11,184
71.195,34.814,184
67.446,32.545,184
69.308,34.502,185
68.9,33.729,185
65.623,32.961,185
69.355,32.909,185
70.936,34.916,185
62.2,34.333,185
66.609,32.533,185
70.083,33.45,185
68.785,36.815,185
68.81,33.162,186
65,36,186
66.9,36.75,186
69.221,33.599,186
69.683,33.8,186
64.317,31.6,186
69.195,32.533,186
69.412,34.877,186
67.202,32.31,187
68.688,36.683,187
68.9,33.729,187
69.087,33.989,187
65.33,31.466,187
67.191,32.313,187
65.866,32.612,187
68.904,33.925,188
65.323,32.977,188
65.331,32.88,188
65.431,32.93,188
65.496,32.975,188
66.591,32.557,188
69.261,34.006,188
62.465,32.474,189
65.02,31.577,189
65.616,31.671,189
69.274,34.952,189
65.404,32.916,189
65.404,32.916,189
66.622,32.52,189
65.293,32.923,189
69.496,33.014,189
70.144,34.181,189
65.366,32.843,189
71.119,34.858,189
62.465,32.474,190
66.37,32.374,190
65.848,31.76,190
70.183,34.236,190
65.676,32.187,190
69.638,34.173,191
69.169,34.522,191
68.9,33.729,191
69.73,34.632,191
69.73,34.632,191
68.372,33.462,191
65.853,35.425,192
69.662,34.989,192
66.544,32.517,192
69.169,34.522,193
69.087,33.989,193
62.42,34.3,193
65.633,31.699,193
69.383,33.459,193
71.467,35.267,193
69.094,34.502,193
68.37,33.464,194
68.754,33.142,194
68.805,34.441,195
65.75,31,195
65.079,34.659,195
69.087,33.989,196
69.169,34.522,196
69.169,34.522,196
69.155,34.831,196
69.041,33.446,196
65.896,32.679,196
69.247,34.756,196
65.247,34.522,196
67.752,32.947,197
68.904,33.925,197
65.136,31.755,197
71.499,35.226,197
66.337,32.243,197
71.208,34.807,197
69.235,34.901,198
71.535,35.13,198
68.429,33.528,198
69.017,34.033,199
68.53,34.54,199
69.714,34.623,199
68.743,34.451,199
68.318,34.34,200
66.591,32.275,200
69.237,34.508,200
69.188,34.528,200
71.486,35.226,200
67.8,32.346,201
65.76,32.392,201
67.803,32.126,201
65.587,31.614,201
65.717,31.617,201
65.433,32.664,201
69.214,34.539,202
68.824,33.681,202
70.362,34.299,202
67.712,32.24,202
70.899,34.979,202
62.119,32.377,202
69.472,32.971,202
69.184,32.91,202
63.029,34.86,203
60.883,32.5,203
71.324,35.011,203
64.323,31.626,204
65.874,32.638,204
69.505,36.719,204
71.45,34.972,205
69.169,34.522,205
69.485,33.017,205
65.849,31.596,205
65.525,32.602,205
69.172,34.575,205
69.449,32.905,206
67.165,31.634,206
65.547,32.625,206
65.632,31.697,207
71.082,34.876,207
68.361,32.194,207
66.804,32.694,208
71.056,34.889,208
65.702,31.613,208
68.847,32.913,208
67.466,31.847,208
70.899,34.877,208
71.029,34.98,208
69.559,36.732,208
67.078,32.817,208
68.428,33.307,209
69.35,32.6,209
65.375,31.471,209
62.177,34.105,209
69.194,32.533,209
70.455,34.427,209
69.998,33.365,209
67.077,32.837,209
69.113,34.453,209
69.191,34.543,209
63.251,33.887,210
68.482,33.303,210
66.51,32.175,210
69.36,32.916,210
69.206,34.535,211
65.869,32.61,211
67.538,32.41,211
66.018,32.087,211
68.545,32.132,211
65.303,34.936,211
69.967,33.298,211
70.11,33.208,211
69.967,33.298,211
68.357,32.196,211
69.399,32.656,212
69.149,32.897,212
66.404,32.222,212
66.812,32.406,212
71.524,35.21,212
64.506,32.344,213
66.633,32.933,213
66.412,32.22,213
67.895,32.352,213
68.661,36.304,214
68.372,31.904,214
69.525,36.743,214
68.488,32.109,214
69.486,32.92,214
65.702,31.613,214
69.917,33.137,214
69.916,33.137,214
66.042,32.108,215
69.238,33.592,215
64.538,31.462,215
68.9,33.729,215
66.148,30.983,215
69.918,33.136,215
64.289,35.923,215
69.139,34.557,215
68.952,33.135,216
68.933,33.366,216
66.148,30.983,216
71.415,35.155,216
71.136,34.853,216
69.253,33.567,216
68.413,33.531,216
66.654,32.42,217
68.761,35.943,218
70.105,33.189,218
66.144,33.164,218
70.124,33.225,218
70.072,33.218,218
67.823,33.373,218
68.393,31.756,218
63.668,35.154,219
66.383,31,219
64.765,35.92,219
67.123,32.641,219
69.303,33.002,219
67.854,32.926,219
68.924,32.894,219
67.121,32.641,219
69.238,33.592,219
70.161,33.233,219
68.413,33.513,219
65.511,33.029,219
69.164,32.501,219
67.042,32.581,219
65.702,31.613,219
67.822,33.373,220
66.267,33.367,220
64.538,31.462,220
66.045,32.785,220
70.761,34.297,220
67.701,32.662,220
67.037,32.552,220
69.46,32.915,220
64.044,34.355,220
66.532,30.994,221
67.512,32.008,221
66.5,32.485,221
66.9,32.1,222
70.45,34.417,222
67.633,32.717,222
65.332,31.486,222
69.225,34.561,222
64.363,31.567,222
65.887,32.624,222
60.638,33.063,222
69.472,32.971,222
65.592,31.582,223
71.136,34.853,223
65.525,32.091,223
65.75,31,223
64.15,33.617,223
67.067,36,223
65.445,32.96,223
70.148,33.2,223
70.142,34.907,223
65.464,32.643,223
69.525,36.743,223
69.041,33.446,224
68.435,33.511,224
61.919,33.71,224
66.5,31.567,224
65.731,31.618,224
68.446,33.472,224
65.455,32.629,224
65.702,31.613,224
70.11,34.869,224
65.702,31.613,224
69.261,32.514,224
69.241,34.573,224
69.733,34.6,225
65.652,31.717,225
69.933,33.252,225
70.937,34.934,225
69.321,32.918,225
62.256,34.246,225
69.169,34.522,225
64,31,226
67.052,32.58,226
69.3,32.809,226
65.759,31.779,226
69.032,32.858,226
69.169,34.522,226
69.301,33.634,227
69.483,34.567,227
64.3,34.1,227
69.484,33.006,227
69.916,33.137,227
66.804,32.401,227
69.05,33.533,228
66.821,31.517,228
65.533,33.051,228
68.639,35.991,228
70.443,37.12,228
69.971,33.368,228
65.846,31.868,228
64,31,229
65.136,31.755,229
68.981,33.508,229
70.103,33.205,229
65.836,31.616,229
66.532,30.987,229
66.03,32.92,230
66.674,33.296,230
68.424,33.55,230
70.886,34.967,230
70.897,34.966,231
67.683,32.515,231
66.685,32.936,231
66.641,32.958,231
69.672,33.791,232
69.346,33.357,232
62.161,32.371,232
65.677,31.657,233
68.44,33.321,233
65.75,31,233
66.247,32.737,233
69.261,32.489,233
68.794,33.171,234
65.52,31.617,234
66.914,31.846,234
68.395,33.033,234
65.468,32.636,235
62.245,33.565,235
70.112,33.183,235
70.162,33.25,235
70.96,34.429,236
70.96,34.429,236
69.266,34.911,236
69.406,33.637,237
68.808,33.162,237
69.247,33.572,237
68.808,33.162,237
70.069,34.954,237
65.75,31,238
70.537,34.272,238
69.406,33.637,238
68.75,36.217,238
65.257,34.524,238
69.246,33.572,238
69.975,33.218,239
69.975,33.218,239
69.874,33.38,239
66.066,32.861,239
68.869,34.397,239
66.804,32.414,239
69.801,33.315,239
67.687,32.862,240
67.239,32.766,240
69.768,33.327,240
65.45,31.533,240
60.75,32.917,240
65.75,31.367,240
69.217,33.583,240
64.733,32.45,240
69.052,33.483,241
66.9,32.1,241
67.033,32.55,241
69.406,33.637,241
67.168,32.744,241
69.333,34.953,241
67.2,32.745,242
69.273,34.79,242
69.181,34.53,242
65.462,32.612,243
70.933,34.979,243
70.908,36.933,243
68.804,33.094,244
71.386,35.369,244
69.382,33.378,244
66.641,32.943,244
69.242,32.529,245
69.234,32.534,245
65.469,32.639,245
71.176,34.862,246
69.242,32.529,246
69.283,34.892,246
69.975,33.218,246
65.451,32.646,246
69.234,32.534,246
66.871,32.443,246
67.128,32.536,246
70.021,33.164,246
64.83,34.143,247
65.533,32.95,247
64.83,34.143,247
70.484,34.424,247
65.726,31.62,247
70.195,33.45,247
65.736,31.618,247
70.481,34.287,247
69.261,32.496,247
62.221,33.383,247
64.817,32.067,248
64.83,34.143,248
62.598,33.13,248
68.34,33.398,248
69.109,33,248
66.769,32.419,248
70.009,33.279,248
69.259,32.5,248
66.64,32.943,248
64.83,34.143,249
67.05,31.567,249
67.183,35.933,249
67.176,36.636,249
65.476,31.537,249
69.454,32.921,249
66.5,31.567,250
68.262,32.634,250
62.66,34.752,250
65.404,32.925,250
69.217,33.077,250
65.874,32.627,250
68.504,33.494,250
65.404,32.827,251
62.6,33.132,251
70.8,34.2,251
66.042,32.108,251
65.75,36.667,251
67.176,36.636,251
68.581,34.443,251
66.781,32.419,251
71.084,34.864,251
67.958,33.404,251
69.217,33.6,252
65.878,32.687,252
70.948,34.632,252
68.904,33.925,252
67.725,32.781,252
66.642,32.946,252
62.27,33.539,253
69.459,33.384,253
67.417,31.933,253
68.745,34.453,253
69.264,34.509,253
65.566,32.943,253
